connector,status_message,link_name
83,"ग्रेटर नोएडा: बैट से पीट-पीटकर मां-बेटी की हत्या, फ्लैट में मिला शव","ग्रेटर नोएडा: बैट से पीट-पीटकर मां-बेटी की हत्या, फ्लैट में मि..."
84,"यूपी में दिखे मस्जिद पुनर्निर्माण के लिए आंदोलन के पोस्टर, देखें टॉप न्यूज","यूपी में दिखे मस्जिद पुनर्निर्माण के लिए आंदोलन के पोस्टर, देख..."
85,"अपने शांत स्वभाव के लिए मशहूर Cheteshwar Pujara ने तूफानी शैली वाले Shikhar Dhawan के साथ जो किया, वह आप सोच भी नहीं सकते...",देखें: धवन के साथ पुजारा ने कुछ ऐसा किया जो आप सोच भी नहीं सकते
86,कैलिफर्निया के जंगलों में लगी आग से बचने के लिए सड़क पर आया घोड़ा,कैलिफर्निया के जंगलों में लगी आग से बचने के लिए सड़क पर आया घोड़ा
87,देश में पहली बार कार खरीदने वाले लोग एंट्री-लेवल के बजाय प्रीमियम कारें ज्यादा खरीदने लगे हैं। पढ़ें यह खास रिपोर्ट...,प्रीमियम मॉडलों को तरजीह दे रहे पहली बार कार खरीदने वाले
88,फिलिस्तीन और अंतरराष्ट्रीय समुदाय के विरोध के बीच अमेरिकी राष्ट्रपति डॉनल्ड ट्रंप बुधवार को यरुशलम को इजरायल की राजधानी का दर्जा देने की बात कही है। जानें क्या है विवाद की जड़...,"यरुशलमः ट्रंप मानेंगे राजधानी, जानें क्या है विवाद की कहानी"
89,"क्या आपका आज आपके बीते हुए कल पर खड़ा है? सुनिए 'सुनो ज़िन्दगी' RJ Sayema  के साथ जो कह रही हैं, 'जो गुजर गया सो गुजर गया।' यह विडियो आपको दे सकता है एक दिशा...",क्या आपका आज आपके बीते हुए कल पे खड़ा है?
90,मिनेसोटा में आया मौसम का पहला बर्फीला तुफान,मिनेसोटा में आया मौसम का पहला बर्फीला तुफान
91,ऐमजॉन पर Xiaomi के हाल ही में लॉन्च हुए स्मार्टफोन रेडमी Y1 और Y1 Lite की सेल 6 दिसंबर दोपहर 12 बजे से शुरू हो जाएगी। आप भी लें लाभ...,ऐमजॉन पर Xiaomi Redmi Y1 और Redmi Y1 Lite की सेल शुरू
92,ओहियो के कोलंबस चिड़ियाघर में पब्लिक के लिए रखा गया नन्हा ऊदबिलाव,ओहियो के कोलंबस चिड़ियाघर में पब्लिक के लिए रखा गया नन्हा ऊदबिलाव
93,बाईं ओर हेडलाइट ठीक करने का विदेशी जुगाड़ है और दाईं ओर बाइक पर ही कार की फीलिंग लेने का देसी जुगाड़। आपको कौनसा बेस्ट लगा...😜😂🤣,देखिए: जुगाड़ के मामले में हमसे कम भी नहीं विदेशी!
94,"अयोध्या के राम मंदिर-बाबरी मस्जिद विवाद की सुनवाई को भले ही सुप्रीम कोर्ट ने 8 फरवरी, 2018 तक के लिए टाल दिया है। सियासी बयानबाजी अपने चरम पर है।",अयोध्या विवाद: चरम पर 'जुबानी वार'  BJP बोली- राहुल हैं 'बाबर भक्त'
95,फ्लोरिडा: सांता क्लॉज के वेश में स्काइडाइविंग करने वाले शख्स के साथ समुद्र तट पर हादसा,फ्लोरिडा: सांता क्लॉज के वेश में स्काइडाइविंग करने वाले शख्स क...
